,Account Status,Duration,Credit History,Purpose,Credit Amount,Savings,Employment,Installment rate,Sex,Other debtors,Residence,Property,Age,Other installments,Housing,Number of credits,Job,Maintenance,Telephone,Foreign,label_value,score
164,no,36,existing credits paid back duly till now,car (new),909,<1000,>= 7 years,4,male single,none,4,savings agreement/life insurance,Middle2,none,own,1,skilled employee / official,1,none,yes,1,1.0
165,no,6,existing credits paid back duly till now,furniture/equipment,2978,<1000,1 <= < 4 years,1,male single,none,2,car or other,Middle1,none,own,1,skilled employee / official,1,yes,yes,1,1.0
166,<0,18,existing credits paid back duly till now,furniture/equipment,1131,<100,unemployed,4,female divorced/separated/married,none,2,car or other,Middle2,none,own,1,skilled employee / official,1,none,yes,0,1.0
167,<200,11,existing credits paid back duly till now,furniture/equipment,1577,>1000,< 1 year,4,female divorced/separated/married,none,1,real estate,Younger,none,own,1,skilled employee / official,1,none,yes,1,1.0
168,no,24,existing credits paid back duly till now,furniture/equipment,3972,<100,4 <= < 7 years,2,female divorced/separated/married,none,4,savings agreement/life insurance,Younger,none,rent,1,skilled employee / official,1,yes,yes,1,1.0
169,<200,24,critical account,business,1935,<100,>= 7 years,4,male divorced/separated,none,4,real estate,Middle1,none,own,2,skilled employee / official,1,yes,yes,0,1.0
170,<0,15,no credits taken,car (new),950,<100,>= 7 years,4,male single,none,3,car or other,Middle2,none,rent,2,skilled employee / official,2,none,yes,0,0.0
171,no,12,existing credits paid back duly till now,furniture/equipment,763,<100,1 <= < 4 years,4,female divorced/separated/married,none,1,real estate,Younger,none,own,1,skilled employee / official,1,yes,yes,1,1.0
172,<200,24,delay in paying off,furniture/equipment,2064,<100,unemployed,3,female divorced/separated/married,none,2,savings agreement/life insurance,Middle2,none,own,1,management/ highly qualified employee,1,yes,yes,0,1.0
173,<200,8,existing credits paid back duly till now,radio/television,1414,<100,1 <= < 4 years,4,male single,guarantor,2,real estate,Middle2,none,own,1,skilled employee / official,1,none,no,1,1.0
174,<0,21,delay in paying off,education,3414,<100,< 1 year,2,male single,none,1,savings agreement/life insurance,Younger,none,own,2,skilled employee / official,1,none,yes,0,0.0
175,no,30,all credits at this bank paid back duly,car (used),7485,no,unemployed,4,female divorced/separated/married,none,1,real estate,Older,bank,own,1,management/ highly qualified employee,1,yes,yes,0,1.0
176,<0,12,existing credits paid back duly till now,furniture/equipment,2577,<100,1 <= < 4 years,2,male divorced/separated,none,1,car or other,Older,none,own,1,skilled employee / official,1,none,yes,1,0.0
177,<0,6,critical account,radio/television,338,<1000,>= 7 years,4,male single,none,4,car or other,Older,none,own,2,skilled employee / official,1,none,yes,1,1.0
178,no,12,existing credits paid back duly till now,radio/television,1963,<100,4 <= < 7 years,4,male single,none,2,car or other,Middle1,none,rent,2,management/ highly qualified employee,2,yes,yes,1,1.0
179,<0,21,critical account,car (new),571,<100,>= 7 years,4,male single,none,4,real estate,Older,none,own,2,skilled employee / official,1,none,yes,1,1.0
180,no,36,delay in paying off,business,9572,<100,< 1 year,1,male divorced/separated,none,1,car or other,Middle1,none,own,2,skilled employee / official,1,none,yes,0,1.0
181,<200,36,delay in paying off,business,4455,<100,1 <= < 4 years,2,male divorced/separated,none,2,real estate,Middle1,store,own,2,management/ highly qualified employee,1,yes,yes,0,0.0
182,<0,21,all credits at this bank paid back duly,car (new),1647,no,1 <= < 4 years,4,male single,none,2,savings agreement/life insurance,Middle2,none,own,2,unskilled - resident,2,none,yes,0,0.0
183,no,24,critical account,furniture/equipment,3777,>1000,1 <= < 4 years,4,male single,none,4,real estate,Older,none,own,1,skilled employee / official,1,yes,yes,1,1.0
184,<200,18,critical account,car (new),884,<100,>= 7 years,4,male single,none,4,car or other,Middle2,bank,own,1,skilled employee / official,2,yes,yes,0,0.0
185,no,15,critical account,radio/television,1360,<100,1 <= < 4 years,4,male single,none,2,savings agreement/life insurance,Middle1,none,own,2,skilled employee / official,1,none,yes,1,1.0
186,<200,9,all credits at this bank paid back duly,car (used),5129,<100,>= 7 years,2,female divorced/separated/married,none,4,no,Older,bank,for free,1,management/ highly qualified employee,2,yes,yes,0,1.0
187,<200,16,critical account,car (new),1175,<100,unemployed,2,male single,none,3,car or other,Older,none,for free,3,unemployed/ unskilled  - non-resident,1,yes,yes,1,1.0
188,<0,12,existing credits paid back duly till now,radio/television,674,<500,4 <= < 7 years,4,male married/widowed,none,1,savings agreement/life insurance,Younger,none,own,1,skilled employee / official,1,none,yes,0,1.0
189,<200,18,no credits taken,furniture/equipment,3244,<100,1 <= < 4 years,1,female divorced/separated/married,none,4,car or other,Middle2,bank,own,2,skilled employee / official,1,yes,yes,1,1.0
190,no,24,existing credits paid back duly till now,business,4591,>1000,1 <= < 4 years,2,male single,none,3,savings agreement/life insurance,Older,none,own,3,management/ highly qualified employee,1,yes,yes,0,1.0
191,<200,48,no credits taken,business,3844,<500,4 <= < 7 years,4,male single,none,4,no,Middle2,none,for free,1,unskilled - resident,2,none,yes,0,0.0
192,<200,27,existing credits paid back duly till now,business,3915,<100,1 <= < 4 years,4,male single,none,2,car or other,Middle2,none,own,1,skilled employee / official,2,yes,yes,0,0.0
193,no,6,existing credits paid back duly till now,radio/television,2108,<100,4 <= < 7 years,2,male married/widowed,none,2,real estate,Middle1,none,rent,1,skilled employee / official,1,none,yes,1,1.0
194,<200,45,existing credits paid back duly till now,radio/television,3031,<500,1 <= < 4 years,4,male single,guarantor,4,savings agreement/life insurance,Younger,none,rent,1,skilled employee / official,1,none,yes,0,0.0
195,<200,9,critical account,education,1501,<100,>= 7 years,2,female divorced/separated/married,none,3,car or other,Middle2,none,own,2,management/ highly qualified employee,1,yes,yes,0,1.0
196,no,6,critical account,radio/television,1382,<100,1 <= < 4 years,1,female divorced/separated/married,none,1,car or other,Middle1,none,own,2,skilled employee / official,1,yes,yes,1,1.0
197,<200,12,existing credits paid back duly till now,furniture/equipment,951,<500,< 1 year,4,female divorced/separated/married,none,4,car or other,Middle1,bank,rent,4,skilled employee / official,1,none,yes,0,1.0
198,<200,24,existing credits paid back duly till now,car (used),2760,no,>= 7 years,4,male single,none,4,no,Middle2,bank,for free,1,skilled employee / official,1,yes,yes,1,1.0
199,<200,18,delay in paying off,furniture/equipment,4297,<100,>= 7 years,4,male divorced/separated,none,3,no,Middle2,none,own,1,management/ highly qualified employee,1,yes,yes,0,1.0
200,no,9,critical account,education,936,<1000,>= 7 years,4,male single,none,2,car or other,Older,none,own,2,skilled employee / official,1,yes,yes,1,1.0
201,<0,12,existing credits paid back duly till now,car (new),1168,<100,1 <= < 4 years,4,male married/widowed,none,3,real estate,Middle1,none,own,1,unskilled - resident,1,none,yes,1,0.0
202,no,27,delay in paying off,business,5117,<100,4 <= < 7 years,3,male single,none,4,car or other,Younger,none,own,2,skilled employee / official,1,none,yes,1,1.0
203,<0,12,existing credits paid back duly till now,retraining,902,<100,4 <= < 7 years,4,male married/widowed,none,4,savings agreement/life insurance,Younger,none,rent,1,skilled employee / official,1,none,yes,0,1.0
204,no,12,critical account,car (new),1495,<100,>= 7 years,4,male single,none,1,real estate,Middle2,none,own,2,unskilled - resident,2,none,yes,1,1.0
205,<0,30,critical account,car (used),10623,<100,>= 7 years,3,male single,none,4,no,Middle2,none,for free,3,management/ highly qualified employee,2,yes,yes,1,0.0
206,no,12,critical account,furniture/equipment,1935,<100,>= 7 years,4,male single,none,4,real estate,Older,none,own,3,skilled employee / official,1,yes,yes,1,1.0
207,<200,12,critical account,domestic appliances,1424,<100,4 <= < 7 years,4,male single,none,3,savings agreement/life insurance,Younger,none,own,1,skilled employee / official,1,none,yes,1,1.0
208,<0,24,existing credits paid back duly till now,business,6568,<100,1 <= < 4 years,2,male married/widowed,none,2,car or other,Younger,store,own,1,unskilled - resident,1,none,yes,1,0.0
209,no,12,existing credits paid back duly till now,car (used),1413,>1000,4 <= < 7 years,3,male single,none,2,savings agreement/life insurance,Older,none,own,1,skilled employee / official,1,none,no,1,1.0
210,no,9,critical account,radio/television,3074,no,1 <= < 4 years,1,male single,none,2,real estate,Middle2,none,own,2,skilled employee / official,2,none,yes,1,1.0
211,no,36,existing credits paid back duly till now,radio/television,3835,no,>= 7 years,2,female divorced/separated/married,none,4,real estate,Older,none,own,1,unskilled - resident,1,yes,yes,1,1.0
212,<0,27,no credits taken,business,5293,<100,unemployed,2,male single,none,4,savings agreement/life insurance,Older,store,own,2,skilled employee / official,1,yes,yes,0,0.0
213,>200,30,delay in paying off,business,1908,<100,>= 7 years,4,male single,none,4,real estate,Older,none,own,1,management/ highly qualified employee,1,yes,yes,0,1.0
214,no,36,critical account,radio/television,3342,no,>= 7 years,4,male single,none,2,car or other,Older,none,own,1,skilled employee / official,1,yes,yes,1,1.0
215,<200,6,critical account,retraining,932,no,4 <= < 7 years,1,female divorced/separated/married,none,3,savings agreement/life insurance,Middle2,none,own,2,unskilled - resident,1,none,yes,1,1.0
216,<0,18,no credits taken,business,3104,<100,4 <= < 7 years,3,male single,none,1,savings agreement/life insurance,Middle1,bank,own,1,skilled employee / official,1,yes,yes,1,1.0
217,>200,36,existing credits paid back duly till now,radio/television,3913,<100,1 <= < 4 years,2,male single,none,2,real estate,Younger,none,own,1,skilled employee / official,1,yes,yes,1,1.0
218,<0,24,existing credits paid back duly till now,furniture/equipment,3021,<100,1 <= < 4 years,2,male divorced/separated,none,2,real estate,Younger,none,rent,1,unskilled - resident,1,none,yes,1,1.0
219,no,10,existing credits paid back duly till now,car (new),1364,<100,1 <= < 4 years,2,female divorced/separated/married,none,4,car or other,Older,none,own,1,skilled employee / official,1,yes,yes,1,1.0
220,<200,12,existing credits paid back duly till now,radio/television,625,<100,< 1 year,4,male married/widowed,guarantor,1,real estate,Younger,bank,own,1,unskilled - resident,1,none,yes,1,1.0
221,<0,12,existing credits paid back duly till now,education,1200,no,1 <= < 4 years,4,female divorced/separated/married,none,4,savings agreement/life insurance,Younger,bank,rent,1,skilled employee / official,1,yes,yes,1,0.0
222,no,12,existing credits paid back duly till now,radio/television,707,<100,1 <= < 4 years,4,male single,none,2,real estate,Middle1,bank,own,2,skilled employee / official,1,none,yes,1,1.0
223,no,24,delay in paying off,business,2978,no,1 <= < 4 years,4,male single,none,4,real estate,Middle1,none,own,2,skilled employee / official,2,yes,yes,1,1.0
224,no,15,existing credits paid back duly till now,car (used),4657,<100,1 <= < 4 years,3,male single,none,2,car or other,Middle1,none,own,1,skilled employee / official,1,yes,yes,1,1.0
225,no,36,no credits taken,repairs,2613,<100,1 <= < 4 years,4,male single,none,2,car or other,Middle1,none,own,2,skilled employee / official,1,none,yes,1,1.0
226,<200,48,existing credits paid back duly till now,radio/television,10961,>1000,4 <= < 7 years,1,male single,co-applicant,2,no,Middle1,bank,own,2,skilled employee / official,1,yes,yes,0,0.0
227,<0,12,existing credits paid back duly till now,furniture/equipment,7865,<100,>= 7 years,4,male single,none,4,no,Older,none,for free,1,management/ highly qualified employee,1,yes,yes,0,0.0
228,no,9,existing credits paid back duly till now,radio/television,1478,<100,4 <= < 7 years,4,male single,none,2,car or other,Younger,none,own,1,skilled employee / official,1,none,yes,0,1.0
229,<0,24,existing credits paid back duly till now,furniture/equipment,3149,<100,< 1 year,4,male single,none,1,no,Younger,bank,for free,1,skilled employee / official,1,none,yes,1,0.0
230,>200,36,existing credits paid back duly till now,radio/television,4210,<100,1 <= < 4 years,4,male single,none,2,car or other,Younger,none,own,1,skilled employee / official,1,none,yes,0,1.0
231,no,9,existing credits paid back duly till now,car (new),2507,<1000,>= 7 years,2,male single,none,4,no,Older,none,for free,1,unskilled - resident,1,none,yes,1,1.0
232,no,12,existing credits paid back duly till now,radio/television,2141,<500,4 <= < 7 years,3,male single,none,1,no,Middle2,none,own,1,skilled employee / official,1,none,yes,1,1.0
233,<200,18,existing credits paid back duly till now,radio/television,866,<100,1 <= < 4 years,4,male married/widowed,guarantor,2,real estate,Younger,none,own,1,unskilled - resident,1,none,yes,1,1.0
234,no,4,critical account,radio/television,1544,<100,4 <= < 7 years,2,male single,none,1,real estate,Older,none,own,3,unskilled - resident,2,none,yes,1,1.0
235,<0,24,existing credits paid back duly till now,radio/television,1823,<100,unemployed,4,male single,none,2,car or other,Middle1,store,own,1,management/ highly qualified employee,2,none,yes,0,0.0
236,<200,6,existing credits paid back duly till now,car (new),14555,no,unemployed,1,male single,none,2,savings agreement/life insurance,Younger,none,own,1,unemployed/ unskilled  - non-resident,1,yes,yes,0,1.0
237,<200,21,existing credits paid back duly till now,business,2767,<500,>= 7 years,4,male divorced/separated,none,2,car or other,Older,bank,rent,2,unskilled - resident,1,none,yes,0,0.0
238,no,12,critical account,radio/television,1291,<100,1 <= < 4 years,4,female divorced/separated/married,none,2,savings agreement/life insurance,Middle2,none,own,2,skilled employee / official,1,none,yes,1,1.0
239,<0,30,existing credits paid back duly till now,radio/television,2522,<100,>= 7 years,1,male single,guarantor,3,savings agreement/life insurance,Middle2,none,own,1,skilled employee / official,2,none,yes,1,1.0
240,<0,24,existing credits paid back duly till now,car (new),915,no,>= 7 years,4,female divorced/separated/married,none,2,car or other,Middle1,bank,own,1,skilled employee / official,1,none,yes,0,1.0
241,no,6,existing credits paid back duly till now,radio/television,1595,<100,4 <= < 7 years,3,male single,none,2,savings agreement/life insurance,Older,none,own,1,skilled employee / official,2,none,yes,1,1.0
